,Station,GTPName,DT,Year,Month,Day,Hour,TG,RSV_volume,RD_volume,RSV_Price,AVG_Price
157,Новочеркасская ГРЭС           ,GNCHEGR1,2020-02-02 06:00:00,2020,2,2,6,0.0,0.0,0.0,0.0,1050.8271
158,ГРЭС-24                       ,GMOSEN29,2020-02-02 07:00:00,2020,2,2,7,0.0,0.0,18.77,0.0,941.53424
159,Киришская ГРЭС                ,GKIRITES,2020-02-02 08:00:00,2020,2,2,8,175.0,148.219,26.781,881.92755,881.92754
160,Киришская ГРЭС                ,GKIRGRES,2020-02-02 09:00:00,2020,2,2,9,0.0,0.0,0.0,0.0,1048.3999
161,Киришская ГРЭС                ,GKIRGRE5,2020-02-02 10:00:00,2020,2,2,10,0.0,0.0,0.603,0.0,1087.7068
162,Киришская ГРЭС                ,GKIRGR02,2020-02-02 11:00:00,2020,2,2,11,710.0,619.734,90.266,1106.77279,1106.7728
163,Грозненская ТЭС               ,GCHECHE2,2020-02-02 12:00:00,2020,2,2,12,81.0,74.832,6.168,1840.99035,1840.99037
164,Грозненская ТЭС               ,GCHECHE1,2020-02-02 13:00:00,2020,2,2,13,107.908,101.871,6.037,1841.00735,1841.00688
165,Адлерская ТЭС                 ,GADLERT2,2020-02-02 14:00:00,2020,2,2,14,0.0,0.0,31.232,0.0,1775.9905
166,Адлерская ТЭС                 ,GADLERT1,2020-02-02 15:00:00,2020,2,2,15,183.0,164.019,18.981,1744.18903,1744.18902
167,Красноярская ГРЭС-2           ,GKRASGR2,2020-02-02 15:00:00,2020,2,2,15,136.0,23.459,112.541,827.25521,827.25522
168,Красноярская ГРЭС-2           ,GKRASGR1,2020-02-02 16:00:00,2020,2,2,16,364.0,62.788,301.212,828.67299,828.67299
169,Череповецкая ГРЭС             ,GVOLOGE1,2020-02-02 17:00:00,2020,2,2,17,0.0,0.0,19.304,0.0,1282.6304
170,Череповецкая ГРЭС             ,GVOLOG10,2020-02-02 18:00:00,2020,2,2,18,420.5,276.814,143.686,1287.4454,1287.4454
171,Сургутская ГРЭС-1             ,GTUMENE2,2020-02-02 19:00:00,2020,2,2,19,1398.0,841.971,556.029,902.5915,902.5915
172,Сургутская ГРЭС-1             ,GTUMENE1,2020-02-02 20:00:00,2020,2,2,20,827.75,498.528,329.222,881.34376,881.34375
173,Троицкая ГРЭС                 ,GTROIGR4,2020-02-02 21:00:00,2020,2,2,21,0.0,0.0,43.133,0.0,1024.312
174,Троицкая ГРЭС                 ,GTROIGR3,2020-02-02 22:00:00,2020,2,2,22,0.0,0.0,0.0,0.0,955.98737
175,Троицкая ГРЭС                 ,GTROIGR1,2020-02-02 23:00:00,2020,2,2,23,35.0,35.0,0.0,904.36857,904.36857
176,Серовская ГРЭС                ,GSVERD30,2020-02-03 00:00:00,2020,2,3,0,427.68,377.643,50.037,909.44945,909.44947
177,Ставропольская ГРЭС           ,GSTAGRE6,2020-02-03 01:00:00,2020,2,3,1,0.0,0.0,0.0,0.0,1056.9271
178,Ставропольская ГРЭС           ,GSTAGRE5,2020-02-03 02:00:00,2020,2,3,2,165.0,129.233,35.767,1120.73364,1035.872
179,Ставропольская ГРЭС           ,GSTAGRE4,2020-02-03 03:00:00,2020,2,3,3,155.0,119.233,35.767,1131.73232,1040.02419
180,Ставропольская ГРЭС           ,GSTAGRE2,2020-02-03 04:00:00,2020,2,3,4,280.0,203.449,76.551,1058.60938,1058.60939
181,Ставропольская ГРЭС           ,GSTAGRE1,2020-02-03 05:00:00,2020,2,3,5,140.0,101.849,38.151,1203.90313,1203.90307
182,Рязанская ГРЭС                ,GRYAZGR4,2020-02-03 06:00:00,2020,2,3,6,0.0,0.0,12.777,0.0,1241.4596
183,Рязанская ГРЭС                ,GRYAZGR3,2020-02-03 07:00:00,2020,2,3,7,0.0,0.0,20.365,0.0,1455.2329
184,Рязанская ГРЭС                ,GRYAZGR2,2020-02-03 08:00:00,2020,2,3,8,0.0,0.0,20.444,0.0,1558.4382
185,Рязанская ГРЭС                ,GRYAZGR1,2020-02-03 09:00:00,2020,2,3,9,0.0,0.0,62.904,0.0,1644.7307
186,Псковская ГРЭС                ,GPSKOGR2,2020-02-03 10:00:00,2020,2,3,10,0.0,0.0,1.771,0.0,1486.7146
187,Псковская ГРЭС                ,GPSKOGR1,2020-02-03 11:00:00,2020,2,3,11,0.0,0.0,1.769,0.0,1484.8505
188,Новочеркасская ГРЭС           ,GNCHEGRE,2020-02-03 12:00:00,2020,2,3,12,450.0,365.769,84.231,1662.05589,1662.05591
189,Череповецкая ГРЭС             ,GVOLOG10,2020-02-01 00:00:00,2020,2,1,0,232.5,202.81,29.69,966.21069,964.49002
190,Сургутская ГРЭС-1             ,GTUMENE2,2020-02-01 01:00:00,2020,2,1,1,1418.707,1248.934,169.773,859.99987,859.99989
191,Сургутская ГРЭС-1             ,GTUMENE1,2020-02-01 02:00:00,2020,2,1,2,627.49,529.695,97.795,863.67223,863.57749
192,Троицкая ГРЭС                 ,GTROIGR4,2020-02-01 03:00:00,2020,2,1,3,0.0,0.0,8.295,0.0,860.79944
193,Троицкая ГРЭС                 ,GTROIGR3,2020-02-01 04:00:00,2020,2,1,4,0.0,0.0,0.0,0.0,868.4931
194,Троицкая ГРЭС                 ,GTROIGR1,2020-02-01 05:00:00,2020,2,1,5,35.0,35.0,0.0,900.65343,900.65343
195,Серовская ГРЭС                ,GSVERD30,2020-02-01 06:00:00,2020,2,1,6,427.68,357.478,70.202,906.11179,906.11179
196,Ставропольская ГРЭС           ,GSTAGRE6,2020-02-01 07:00:00,2020,2,1,7,0.0,0.0,0.0,0.0,1161.7029
197,Ставропольская ГРЭС           ,GSTAGRE5,2020-02-01 08:00:00,2020,2,1,8,165.0,101.071,63.929,1577.21245,1544.13727
